#score	card name	comments
3.10431	Baloth Cage Trap	comment
3.10326	Diabolic Tutor	comment
3.09798	Gravitational Shift	comment
3.09345	Seize the Initiative	comment
3.09292	Mass Polymorph	comment
3.09225	Turntimber Ranger	comment
3.08386	Zendikar Farguide	implemented
3.08386	Mindless Null	comment
3.08386	Crypt Ripper	comment
3.0838	Pitfall Trap	comment
3.08356	Sejiri Merfolk	comment
3.07632	Sudden Shock	comment
3.07001	Nomads' Assembly	comment
3.06731	Glimpse of Nature	comment
3.06566	Arcane Denial	comment
3.06458	Vapor Snare	comment
3.06387	Quicksand	comment
3.06115	Grazing Gladehart	comment
3.05928	Grim Discovery	comment
3.05632	Enlightened Tutor	comment
3.0541	Obsidian Fireheart	comment
3.04325	Hedron-Field Purists	comment
3.03532	Quest for Pure Flame	comment
3.02845	Stormfront Pegasus	implemented
3.02793	Stifle	comment
3.02546	Sword of Vengeance	implemented
3.01906	Shared Discovery	comment
3.01522	Thrummingbird	comment
3.00846	Sleight of Hand	comment
3.00672	Tuktuk Scrapper	comment
3.00126	Crypt of Agadeem	comment
3.00006	Stone Idol Trap	comment
3	Phyrexian Obliterator	comment
2.99975	Maritime Guard	implemented
2.99975	Azure Drake	implemented
2.99918	Marshal's Anthem	comment
2.9952	Tajuru Archer	comment
2.99352	Blood Tithe	comment
2.9894	Solemn Offering	implemented
2.98705	Simian Spirit Guide	comment
2.98518	Diminish	implemented
2.98518	Cloud Elemental	implemented
2.98016	Chain Reaction	implemented
2.97936	Pyromancer Ascension	comment
2.9757	Cudgel Troll	implemented
2.97082	Ironclaw Orcs	comment
2.97062	Infantry Veteran	comment
2.9702	Child of Night	implemented
2.96755	Trusty Machete	implemented
2.96725	Wild Evocation	comment
2.9638	Venser, the Sojourner	comment
2.96369	Sacred Wolf	implemented
2.96369	Canyon Minotaur	implemented
2.95859	Ravenous Trap	comment
2.94805	Quest for the Goblin Lord	comment
2.93724	Permafrost Trap	comment
2.9357	Escaped Null	comment
2.92921	Brass Man	comment
2.92805	Feast of Blood	comment
2.928	Captivating Vampire	comment
2.92451	World Queller	comment
2.92202	Moriok Replica	comment
2.91902	Lifesmith	comment
2.91902	Engulfing Slagwurm	comment
2.91833	Red Elemental Blast	comment
2.91606	Vulshok Berserker	implemented
2.91606	Skitter of Lizards	comment
2.91606	Ruinous Minotaur	comment
2.91606	Lord of Shatterskull Pass	implemented
2.91606	Juggernaut	comment
2.91606	Crusher Zendikon	comment
2.91487	Blightning	implemented
2.91423	Azorius Chancery	comment
2.91313	Withstand Death	implemented
2.91313	Grafted Exoskeleton	comment
2.91022	Rusted Relic	comment
2.91022	Neurok Replica	comment
2.91022	Golden Urn	comment
2.91022	Flight Spellbomb	comment
2.90654	Perimeter Captain	implemented
2.89871	Roiling Terrain	comment
2.89321	Mire's Toll	comment
2.88617	Ancient Stirrings	comment
2.88179	Gut Shot	comment
2.88179	Apostle's Blessing	comment
2.87854	Sunspring Expedition	comment
2.87341	Kitesail	implemented
2.87247	Trigon of Infestation	comment
2.87247	Ichor Rats	comment
2.87231	Archon of Redemption	implemented
2.872	Dauntless Escort	implemented
2.8675	Painsmith	comment
2.8675	Auriok Edgewright	comment
2.86739	Join the Ranks	comment
2.86676	Arrogant Bloodlord	comment
2.86553	Sovereigns of Lost Alara	comment
2.86538	Unholy Strength	comment
2.86204	Skeletal Wurm	comment
2.85861	Lagac Lizard	comment
2.85659	Boil	comment
2.85625	Bloodrite Invoker	comment
2.85507	Hellkite Charger	comment
2.85389	Vent Sentinel	comment
2.85297	Vault Skirge	comment
2.85297	Porcelain Legionnaire	comment
2.85181	Watchwolf	implemented
2.85097	Lavaball Trap	comment
2.85033	Sea Gate Loremaster	comment
2.84859	Soul Parry	comment
2.84859	Slice in Twain	comment
2.84859	Scrapdiver Serpent	comment
2.84859	Loxodon Wayfarer	implemented
2.84859	Golem Artisan	comment
2.84859	Ferrovore	comment
2.84859	Dross Hopper	comment
2.84859	Darksteel Myr	implemented
2.84859	Bloodshot Trainee	comment
2.84633	Elixir of Immortality	comment
2.84633	Asceticism	implemented
2.84474	Telling Time	comment
2.83912	Alluring Siren	comment
2.83783	Dreamstone Hedron	comment
2.83783	Artisan of Kozilek	comment
2.83751	Vampire's Bite	comment
2.83751	Reassembling Skeleton	comment
2.83536	Sunblast Angel	implemented
2.83358	Comet Storm	comment
2.83045	Demon's Horn	comment
2.83045	Assassinate	implemented
2.82969	Spire Barrage	comment
2.82691	Royal Assassin	comment
2.82617	Ice Cage	comment
2.82345	Howling Banshee	comment
2.82153	Graypelt Hunter	comment
2.82078	Jwari Shapeshifter	comment
2.82078	Halimar Excavator	comment
2.81796	Perish	comment
2.81757	Momentous Fall	comment
2.81562	Irresistible Prey	comment
2.81381	Kazandu Refuge	implemented
2.81344	Serum Visions	comment
2.81119	Vengeful Archon	comment
2.81119	Tome Scour	comment
2.81119	Spined Wurm	implemented
2.81119	Rotting Legion	comment
2.81119	Relentless Rats	comment
2.81119	Prized Unicorn	comment
2.81119	Necrotic Plague	comment
2.81119	Mighty Leap	implemented
2.81119	Disentomb	comment
2.81119	Conundrum Sphinx	comment
2.81119	Call to Mind	comment
2.81119	Armored Cancrix	implemented
2.81119	Angel's Feather	comment
2.80738	Nimana Sell-Sword	comment
2.80735	Spider Umbra	implemented
2.80608	Necropotence	comment
2.80371	Leonin Skyhunter	implemented
2.80367	Contagion	comment
2.80308	Stupor	implemented
2.80146	Trapmaker's Snare	comment
2.79771	Whiplash Trap	comment
2.79663	Water Servant	comment
2.79663	Phantom Beast	comment
2.79663	Cloud Crusader	implemented
2.79316	Yavimaya Wurm	implemented
2.79316	Volcanic Strength	implemented
2.79316	Sorcerer's Strongbox	comment
2.79316	Prodigal Pyromancer	comment
2.79316	Greater Basilisk	implemented
2.79311	Dread Drone	comment
2.78987	Dystopia	comment
2.78966	Blazing Torch	comment
2.78732	Nirkana Revenant	comment
2.78681	Bala Ged Thief	comment
2.78496	Last Kiss	comment
2.78262	Wooded Bastion	comment
2.78153	Heat Ray	comment
2.78153	Grotag Siege-Runner	comment
2.77999	Sphinx of Magosi	implemented
2.77999	Recurring Insight	comment
2.77999	Domestication	comment
2.77917	Suffer the Past	comment
2.77917	Repay in Kind	comment
2.77917	Explosive Revelation	comment
2.77787	Rishadan Port	comment
2.77778	Mind Rot	comment
2.77681	Valakut Fireboar	comment
2.77681	Surreal Memoir	comment
2.77681	Induce Despair	comment
2.77681	Bala Ged Scorpion	comment
2.76823	Mindcrank	comment
2.76823	Geth's Verdict	comment
2.76774	Dragonmaster Outcast	implemented
2.76501	Mishra's Helix	comment
2.7619	Sorin Markov	comment
2.76115	Chandra Ablaze	comment
2.75523	Grappling Hook	comment
2.75182	Tribal Flames	comment
2.74512	Felidar Sovereign	comment
2.74136	Strength of the Tajuru	comment
2.73547	Hagra Crocodile	comment
2.73022	Gaea's Might	comment
2.73022	Boros Swiftblade	implemented
2.72614	Haunting Echoes	comment
2.72372	Quest for Ancient Secrets	comment
2.72106	Rise from the Grave	comment
2.71702	Glory Seeker	implemented
2.71501	Stonework Puma	implemented
2.71501	Soul Stair Expedition	comment
2.71501	Makindi Shieldmate	comment
2.71501	Hagra Diabolist	comment
2.71501	Arrow Volley Trap	comment
2.71409	Kor Hookmaster	comment
2.71409	Kor Aeronaut	comment
2.71314	Cabal Therapy	comment
2.71224	Kazuul, Tyrant of the Cliffs	implemented
2.70787	Wildheart Invoker	comment
2.70787	Ondu Giant	comment
2.70787	Null Champion	comment
2.70787	Jaddi Lifestrider	comment
2.70787	Essence Feed	comment
2.70787	Corpsehatch	implemented
2.70787	Broodwarden	comment
2.70519	Siege Mastodon	implemented
2.70239	Talisman of Dominance	comment
2.70214	Survival of the Fittest	comment
2.70208	Warmonger's Chariot	comment
2.70208	Runed Servitor	comment
2.70208	Reinforced Bulwark	comment
2.70208	Reality Spasm	comment
2.70208	Raid Bombardment	comment
2.70208	Ogre Sentry	implemented
2.70208	Not of This World	comment
2.70208	Merfolk Skyscout	comment
2.70208	Living Destiny	comment
2.70208	Kabira Vindicator	comment
2.70208	Ikiral Outrider	comment
2.70208	Hedron Matrix	comment
2.70208	Guard Duty	comment
2.70208	Gloomhunter	implemented
2.70208	Eland Umbra	comment
2.70208	Drana, Kalastria Bloodchief	implemented
2.70208	Aura Finesse	comment
2.70208	Akoum Boulderfoot	comment
2.69972	Zof Shade	comment
2.69972	Wrap in Flames	comment
2.69972	Virulent Swipe	comment
2.69972	Soulsurge Elemental	comment
2.69972	Nirkana Cutthroat	implemented
2.69972	Lavafume Invoker	comment
2.69972	Frostwind Invoker	comment
2.69972	Fleeting Distraction	comment
2.69972	Fissure Vent	comment
2.69972	Emrakul's Hatcher	comment
2.69972	Curse of Wizardry	comment
2.69972	Cadaver Imp	comment
2.69972	Brood Birthing	comment
2.69972	Baneful Omen	comment
2.69741	Admonition Angel	comment
2.69444	Umara Raptor	comment
2.68697	Boar Umbra	implemented
2.67972	Murmuring Bosk	comment
2.67801	Serra Angel	implemented
2.67653	Silvercoat Lion	implemented
2.6754	Holy Strength	comment
2.67276	Spidersilk Net	implemented
2.67153	Seething Song	comment
2.67095	Blinding Mage	comment
2.66911	Shriekmaw	comment
2.66834	Platinum Angel	implemented
2.66355	Vastwood Gorger	implemented
2.66355	Trailblazer's Boots	comment
2.66355	Relic Crush	comment
2.66275	Shiv's Embrace	comment
2.65964	Magosi, the Waterveil	comment
2.65928	Goliath Sphinx	implemented
2.65231	Giant Spider	implemented
2.65184	Martial Coup	implemented
2.65085	Magma Phoenix	comment
2.64987	Goblin Piker	implemented
2.64613	Clone	comment
2.64537	Talisman of Progress	comment
2.64309	Trapfinder's Trick	comment
2.64309	Pillarfield Ox	implemented
2.64309	Hellfire Mongrel	comment
2.64309	Greenweaver Druid	comment
2.64309	Frontier Guide	comment
2.64309	Cobra Trap	comment
2.64309	Beast Hunt	comment
2.6419	Armored Ascension	comment
2.64041	Lethargy Trap	comment
2.63988	Quest for the Gemblades	implemented
2.63762	Lava Axe	comment
2.63687	Traumatize	comment
2.63577	Corrupt	comment
2.62264	Zulaport Enforcer	comment
2.62264	Wurm's Tooth	comment
2.62264	Wrexial, the Risen Deep	implemented
2.62264	World at War	comment
2.62264	Wing Puncture	comment
2.62264	Wind Zendikon	comment
2.62264	Windrider Eel	comment
2.62264	Windborne Charge	comment
2.62264	Wild Griffin	implemented
2.62264	White Sun's Zenith	comment
2.62264	Welkin Tern	implemented
2.62264	Warlord's Axe	comment
2.62264	Wall of Vines	implemented
2.62264	Walking Atlas	comment
2.62264	Voyager Drake	comment
2.62264	Vivisection	comment
2.62264	Viridian Claw	implemented
2.62264	Vigil for the Lost	comment
2.62264	Victory's Herald	implemented
2.62264	Veteran's Reflexes	implemented
2.62264	Venser's Journal	comment
2.62264	Venerated Teacher	comment
2.62264	Vedalken Infuser	comment
2.62264	Vastwood Zendikon	comment
2.62264	Vastwood Animist	comment
2.62264	Unnatural Predation	comment
2.62264	Umbra Mystic	comment
2.62264	Ulamog's Crusher	comment
2.62264	Twitch	comment
2.62264	Turntimber Grove	comment
2.62264	Turntimber Basilisk	comment
2.62264	Turn Aside	comment
2.62264	Tuktuk Grunts	comment
2.62264	True Conviction	implemented
2.62264	Trigon of Thought	comment
2.62264	Trigon of Rage	comment
2.62264	Trigon of Mending	comment
2.62264	Training Grounds	comment
2.62264	Tower of Calamities	comment
2.62264	Totem-Guide Hartebeest	comment
2.62264	Torch Slinger	comment
2.62264	Tomb Hex	comment
2.62264	Titan Forge	comment
2.62264	Tireless Missionaries	comment
2.62264	Tine Shrike	implemented
2.62264	Time of Heroes	comment
2.62264	Tideforce Elemental	comment
2.62264	Thunder Strike	implemented
2.62264	Thought Gorger	comment
2.62264	Thopter Assembly	comment
2.62264	Thada Adel, Acquisitor	comment
2.62264	Terra Stomper	implemented
2.62264	Terra Eternal	comment
2.62264	Tempest Owl	comment
2.62264	Tanglesap	comment
2.62264	Tangle Mantis	implemented
2.62264	Tainted Strike	comment
2.62264	Surrakar Spellblade	comment
2.62264	Surrakar Marauder	comment
2.62264	Surrakar Banisher	comment
2.62264	Summoner's Bane	comment
2.62264	Summit Apes	comment
2.62264	Strandwalker	implemented
2.62264	Stone Golem	implemented
2.62264	Stomper Cub	implemented
2.62264	Steady Progress	comment
2.62264	Stalwart Shield-Bearers	comment
2.62264	Stabbing Pain	comment
2.62264	Sporecap Spider	implemented
2.62264	Spire Serpent	comment
2.62264	Spiraling Duelist	comment
2.62264	Spin Engine	comment
2.62264	Sphinx-Bone Wand	comment
2.62264	Spell Contortion	comment
2.62264	Spawnsire of Ulamog	comment
2.62264	Spawning Breath	comment
2.62264	Soulbound Guardians	implemented
2.62264	Soaring Seacliff	comment
2.62264	Snapsail Glider	comment
2.62264	Snapping Creeper	comment
2.62264	Snake Umbra	implemented
2.62264	Smite	implemented
2.62264	Slingbow Trap	comment
2.62264	Slavering Nulls	comment
2.62264	Slaughter Cry	comment
2.62264	Skywatcher Adept	comment
2.62264	Sky Ruin Drake	implemented
2.62264	Sky-Eel School	comment
2.62264	Skittering Invasion	comment
2.62264	Skinwing	comment
2.62264	Shrivel	comment
2.62264	Shriekhorn	comment
2.62264	Shoreline Salvager	comment
2.62264	Shoal Serpent	comment
2.62264	Shimmer Myr	comment
2.62264	Shieldmate's Blessing	comment
2.62264	Shepherd of the Lost	implemented
2.62264	Shatterskull Giant	implemented
2.62264	Shape Anew	comment
2.62264	Serum Raker	comment
2.62264	Septic Rats	implemented
2.62264	Selective Memory	comment
2.62264	Seismic Shudder	comment
2.62264	Seer's Sundial	comment
2.62264	Seascape Aerialist	comment
2.62264	Scythe Tiger	comment
2.62264	Scrib Nibblers	comment
2.62264	Screeching Silcaw	comment
2.62264	Scourge Servant	implemented
2.62264	Savage Silhouette	comment
2.62264	Sangromancer	comment
2.62264	Ruthless Cullblade	implemented
2.62264	Rust Tick	comment
2.62264	Rusted Slasher	comment
2.62264	Runeclaw Bear	implemented
2.62264	Rumbling Aftershocks	comment
2.62264	Ruin Ghost	comment
2.62264	Roc Egg	comment
2.62264	Repel the Darkness	comment
2.62264	Relic Putrescence	comment
2.62264	Regress	comment
2.62264	Redirect	comment
2.62264	Reckless Scholar	comment
2.62264	Realms Uncharted	comment
2.62264	Razor Boomerang	comment
2.62264	Rapacious One	comment
2.62264	Rally the Forces	implemented
2.62264	Rage Nimbus	implemented
2.62264	Quilled Slagwurm	comment
2.62264	Quicksilver Geyser	comment
2.62264	Quicksilver Gargantuan	comment
2.62264	Quest for Ula's Temple	comment
2.62264	Quest for the Nihil Stone	comment
2.62264	Quest for Renewal	comment
2.62264	Quag Vampires	comment
2.62264	Quag Sickness	comment
2.62264	Puncturing Light	comment
2.62264	Psychosis Crawler	comment
2.62264	Protean Hydra	comment
2.62264	Primal Cocoon	comment
2.62264	Priests of Norn	implemented
2.62264	Prey's Vengeance	comment
2.62264	Predatory Urge	comment
2.62264	Praetor's Counsel	comment
2.62264	Plaguemaw Beast	comment
2.62264	Pistus Strike	comment
2.62264	Piranha Marsh	comment
2.62264	Pierce Strider	implemented
2.62264	Phyresis	comment
2.62264	Phylactery Lich	comment
2.62264	Phantasmal Abomination	comment
2.62264	Pestilence Demon	comment
2.62264	Perish the Thought	comment
2.62264	Pennon Blade	comment
2.62264	Pathrazer of Ulamog	comment
2.62264	Paralyzing Grasp	comment
2.62264	Palace Guard	comment
2.62264	Ogre's Cleaver	implemented
2.62264	Ogre Geargrabber	comment
2.62264	Novablast Wurm	implemented
2.62264	Noble Vestige	comment
2.62264	Nimbus Wings	comment
2.62264	Nightwing Shade	comment
2.62264	Nighthaze	comment
2.62264	Neurok Invisimancer	implemented
2.62264	Nether Horror	implemented
2.62264	Nested Ghoul	comment
2.62264	Nemesis Trap	comment
2.62264	Nema Siltlurker	implemented
2.62264	Needlebite Trap	comment
2.62264	Near-Death Experience	comment
2.62264	Nature's Spiral	comment
2.62264	Narrow Escape	comment
2.62264	Mysteries of the Deep	comment
2.62264	Myr Welder	comment
2.62264	Myr Sire	comment
2.62264	Myr Reservoir	comment
2.62264	Myr Propagator	comment
2.62264	Myr Galvanizer	comment
2.62264	Murasa Pyromancer	comment
2.62264	Mordant Dragon	implemented
2.62264	Morbid Plunder	comment
2.62264	Molten Ravager	comment
2.62264	Mitotic Manipulation	comment
2.62264	Mirrorworks	comment
2.62264	Mirran Mettle	comment
2.62264	Mire Blight	comment
2.62264	Might of the Masses	comment
2.62264	Metallic Mastery	comment
2.62264	Merfolk Wayfinder	comment
2.62264	Merfolk Spy	comment
2.62264	Merfolk Seastalkers	implemented
2.62264	Merfolk Observer	comment
2.62264	Melt Terrain	comment
2.62264	Massacre Wurm	implemented
2.62264	Marsh Threader	implemented
2.62264	Mammoth Umbra	comment
2.62264	Makindi Griffin	implemented
2.62264	Magmaw	comment
2.62264	Magma Rift	comment
2.62264	Lust for War	comment
2.62264	Luminous Wake	comment
2.62264	Lumengrid Drake	comment
2.62264	Lullmage Mentor	comment
2.62264	Lorthos, the Tidemaker	comment
2.62264	Living Tsunami	comment
2.62264	Liliana's Specter	implemented
2.62264	Lightmine Field	comment
2.62264	Lightkeeper of Emeria	implemented
2.62264	Lighthouse Chronologist	comment
2.62264	Liege of the Tangle	comment
2.62264	Leyline of Punishment	comment
2.62264	Leaf Arrow	comment
2.62264	Lay Bare	comment
2.62264	Landbind Ritual	comment
2.62264	Kraken's Eye	comment
2.62264	Kraken Hatchling	implemented
2.62264	Koth's Courier	implemented
2.62264	Kor Spiritdancer	comment
2.62264	Kor Line-Slinger	comment
2.62264	Knowledge Pool	comment
2.62264	Knight of Cliffhaven	comment
2.62264	Kitesail Apprentice	implemented
2.62264	Khalni Hydra	comment
2.62264	Khalni Gem	comment
2.62264	Kemba's Legion	comment
2.62264	Keening Stone	comment
2.62264	Kazuul Warlord	comment
2.62264	Kazandu Tuskcaller	comment
2.62264	Kalitas, Bloodchief of Ghet	comment
2.62264	Jwar Isle Refuge	implemented
2.62264	Jwari Scuttler	implemented
2.62264	Jagwasp Swarm	implemented
2.62264	Jace's Erasure	comment
2.62264	It That Betrays	comment
2.62264	Ior Ruin Expedition	comment
2.62264	Iona's Judgment	comment
2.62264	Into the Core	comment
2.62264	Inspired Charge	comment
2.62264	Inferno Trap	comment
2.62264	Inexorable Tide	comment
2.62264	Incite	comment
2.62264	Hunters' Feast	comment
2.62264	Horrifying Revelation	comment
2.62264	Horizon Spellbomb	comment
2.62264	Horizon Drake	comment
2.62264	Hoarding Dragon	comment
2.62264	Highland Berserker	comment
2.62264	Hellkite Igniter	comment
2.62264	Hellion Eruption	comment
2.62264	Hellcarver Demon	comment
2.62264	Hedron Scrabbler	comment
2.62264	Hedron Rover	comment
2.62264	Haze Frog	comment
2.62264	Harmless Assault	comment
2.62264	Harbor Serpent	comment
2.62264	Hand of Emrakul	comment
2.62264	Halo Hunter	comment
2.62264	Halimar Wavewatch	comment
2.62264	Hada Spy Patrol	comment
2.62264	Guul Draz Specter	implemented
2.62264	Guul Draz Assassin	comment
2.62264	Guardian Zendikon	comment
2.62264	Guard Gomazoa	implemented
2.62264	Gruesome Encore	comment
2.62264	Grotag Thrasher	comment
2.62264	Grindclock	comment
2.62264	Gravity Well	comment
2.62264	Gravedigger	comment
2.62264	Grappler Spider	implemented
2.62264	Gore Vassal	comment
2.62264	Gomazoa	comment
2.62264	Golem's Heart	comment
2.62264	Goldenglow Moth	comment
2.62264	Goblin War Paint	implemented
2.62264	Goblin Tunneler	comment
2.62264	Goblin Shortcutter	implemented
2.62264	Goblin Roughrider	implemented
2.62264	Goblin Balloon Brigade	comment
2.62264	Gnathosaur	comment
2.62264	Gnarlid Pack	comment
2.62264	Glissa, the Traitor	comment
2.62264	Gigantomancer	comment
2.62264	Giant Scorpion	implemented
2.62264	Geyser Glider	comment
2.62264	Geth, Lord of the Vault	comment
2.62264	Gelatinous Genesis	comment
2.62264	Garruk's Packleader	comment
2.62264	Gargoyle Sentinel	comment
2.62264	Galvanoth	comment
2.62264	Fulgent Distraction	comment
2.62264	Flesh-Eater Imp	comment
2.62264	Fledgling Griffin	comment
2.62264	Flameborn Hellion	implemented
2.62264	Fire Servant	implemented
2.62264	Fiery Hellhound	comment
2.62264	Feral Contest	comment
2.62264	Ezuri's Brigade	comment
2.62264	Ezuri's Archers	implemented
2.62264	Exsanguinate	comment
2.62264	Explorer's Scope	comment
2.62264	Eternity Vessel	comment
2.62264	Etched Champion	comment
2.62264	Enclave Elite	comment
2.62264	Enatu Golem	comment
2.62264	Embersmith	comment
2.62264	Electropotence	comment
2.62264	Eel Umbra	implemented
2.62264	Echo Mage	implemented
2.62264	Earth Servant	comment
2.62264	Duskdale Wurm	implemented
2.62264	Dryad's Favor	comment
2.62264	Drake Umbra	implemented
2.62264	Dormant Gomazoa	comment
2.62264	Distant Memories	comment
2.62264	Dissipation Field	implemented
2.62264	Disaster Radius	comment
2.62264	Desecrated Earth	comment
2.62264	Demonic Appetite	comment
2.62264	Demolish	comment
2.62264	Decimator Web	comment
2.62264	Deathless Angel	implemented
2.62264	Deathforge Shaman	comment
2.62264	Dead Reckoning	comment
2.62264	Dawnglare Invoker	comment
2.62264	Darksteel Sentinel	implemented
2.62264	Darksteel Plate	comment
2.62264	Darksteel Juggernaut	comment
2.62264	Darkslick Drake	implemented
2.62264	Daggerback Basilisk	implemented
2.62264	Cyclops Gladiator	comment
2.62264	Culling Dais	comment
2.62264	Crystal Ball	comment
2.62264	Cryptoplasm	comment
2.62264	Crab Umbra	comment
2.62264	Cosi's Ravager	comment
2.62264	Corrupted Zendikon	comment
2.62264	Corrupted Harvester	comment
2.62264	Core Prowler	comment
2.62264	Conquering Manticore	comment
2.62264	Clone Shell	comment
2.62264	Cliff Threader	implemented
2.62264	Claws of Valakut	comment
2.62264	Choking Fumes	comment
2.62264	Chandra's Spitfire	implemented
2.62264	Chandra's Outrage	comment
2.62264	Champion's Drake	comment
2.62264	Cerebral Eruption	comment
2.62264	Celestial Mantle	comment
2.62264	Caustic Crawler	comment
2.62264	Cast Through Time	comment
2.62264	Carnage Altar	comment
2.62264	Caravan Hurda	implemented
2.62264	Caravan Escort	comment
2.62264	Canopy Cover	comment
2.62264	Caller of Gales	comment
2.62264	Butcher of Malakir	implemented
2.62264	Burn the Impure	comment
2.62264	Bull Rush	comment
2.62264	Brink of Disaster	comment
2.62264	Brindle Boar	comment
2.62264	Brimstone Mage	comment
2.62264	Brass Squire	comment
2.62264	Bramblesnap	comment
2.62264	Bonds of Quicksilver	comment
2.62264	Bold Defense	comment
2.62264	Bojuka Brigand	comment
2.62264	Bog Tatters	implemented
2.62264	Bog Raiders	implemented
2.62264	Blunt the Assault	comment
2.62264	Blood Tribute	comment
2.62264	Bloodcrazed Goblin	comment
2.62264	Bladetusk Boar	implemented
2.62264	Bladed Sentinel	comment
2.62264	Berserkers of Blood Ridge	implemented
2.62264	Beastbreaker of Bala Ged	comment
2.62264	Bear Umbra	comment
2.62264	Bazaar Trader	comment
2.62264	Battle-Rattle Shaman	comment
2.62264	Battle Rampart	comment
2.62264	Battle Hurda	implemented
2.62264	Barrage Ogre	comment
2.62264	Barony Vampire	implemented
2.62264	Barbed Battlegear	implemented
2.62264	Baloth Woodcrasher	comment
2.62264	Back to Nature	implemented
2.62264	Aura Gnarlid	comment
2.62264	Assault Griffin	implemented
2.62264	Armament Master	comment
2.62264	Archmage Ascension	comment
2.62264	Apex Hawks	comment
2.62264	Anowon, the Ruin Sage	comment
2.62264	Angelic Arbiter	comment
2.62264	Angelheart Vial	comment
2.62264	Ancient Hellkite	comment
2.62264	Amulet of Vigor	comment
2.62264	Ajani's Mantra	comment
2.62264	Air Servant	implemented
2.62264	Agadeem Occultist	comment
2.62264	Affa Guard Hound	implemented
2.62264	Æther Tradewinds	comment
2.62264	Æther Figment	comment
2.62264	Æther Adept	comment
2.62264	Abuna Acolyte	comment
2.59801	Elvish Spirit Guide	comment
2.59679	Candelabra of Tawnos	comment
2.59644	Fire // Ice	comment
2.58468	Cephalid Illusionist	comment
2.58201	Hell's Thunder	comment
2.58092	Terror	comment
2.58018	Priest of Urabrask	comment
2.57045	Nomads en-Kor	comment
2.56238	Pentad Prism	comment
2.56238	Myr Incubator	comment
2.56238	Krark-Clan Ironworks	comment
2.55985	Pact of Negation	comment
2.55929	Bogardan Hellkite	comment
2.55585	Wrath of God	destroy all creatures, can't be regenerated*
2.55575	Fabricate	comment
2.54425	Graven Cairns	comment
2.53947	Knight of Meadowgrain	implemented
2.52226	Pillage	comment
2.52126	Eternal Witness	comment
2.51901	Lotus Bloom	comment
2.51661	Tombstalker	comment
2.51231	Worn Powerstone	comment
2.4872	Merchant Scroll	comment
2.48521	Broken Ambitions	comment
2.48329	Skullclamp	implemented
2.48268	Shock	comment
2.47701	Shattering Pulse	comment
2.47677	Steel of the Godhead	comment
2.4522	Sword of Fire and Ice	implemented
2.44631	Somber Hoverguard	comment
2.44544	Arcbound Worker	comment
2.44106	Temporal Fissure	comment
2.41251	Abeyance	comment
2.40409	Scion of Oona	comment
2.39907	Vivid Creek	implemented
2.39815	Crucible of Worlds	comment
2.39127	Wild Mongrel	comment
2.38535	Phyrexian Processor	comment
2.38276	Wizened Cenn	comment
2.37923	Goldmeadow Stalwart	comment
2.36231	Mystical Teachings	comment
2.35863	Karplusan Forest	comment
2.35394	Progenitus	comment
2.32859	Fulminator Mage	comment
2.29733	Dragon Whelp	comment
2.2916	Rite of Flame	comment
2.28253	Serra's Sanctum	comment
2.27532	Fire-Lit Thicket	comment
2.27201	Meditate	comment
2.25562	Turnabout	comment
2.25562	Time Spiral	comment
2.25562	High Tide	comment
2.25527	Leyline of Lifeforce	comment
2.25081	Isamaru, Hound of Konda	implemented
2.22549	Terminate	implemented
2.21636	Vampiric Tutor	comment
2.20412	Darkblast	comment
2.19691	Dwarven Lieutenant	comment
2.19691	Active Volcano	comment
2.17704	Teferi, Mage of Zhalfir	comment
2.16427	Armadillo Cloak	implemented
2.15516	Urborg, Tomb of Yawgmoth	comment
2.14434	Vedalken Shackles	comment
2.13591	City of Solitude	comment
2.1217	Glen Elendra Archmage	implemented
2.11086	Wirewood Symbiote	comment
2.10797	Hammer of Bogardan	comment
2.1068	Goblin Replica	comment
2.10482	Scald	comment
2.09374	Thornscape Battlemage	comment
2.08924	Stench of Decay	comment
2.08924	Infernal Darkness	comment
2.08866	Howling Mine	draws an additional card if untapped*
2.07187	Arc Lightning	comment
2.03086	Narcomoeba	comment
2.02729	Emerald Charm	comment
2.02595	Undiscovered Paradise	comment
2.02268	Ghitu Encampment	comment
2.01197	Karakas	comment
2.00926	Mind Spring	implemented
2.0054	Manamorphose	comment
1.98837	Flametongue Kavu	implemented
1.98416	Reveillark	comment
1.98247	Extirpate	comment
1.96278	Tendrils of Corruption	comment
1.962	Boggart Ram-Gang	implemented
1.95618	Painter's Servant	comment
1.95109	Nim Replica	comment
1.94885	Grindstone	comment
1.9461	Rhox War Monk	implemented
1.92625	Basking Rootwalla	comment
1.9185	Lotus Petal	implemented
1.89407	Bottle Gnomes	implemented
1.88606	Treetop Village	land that becomes 3/3 Ape creature with trample until EOT*
1.8851	Dryad Arbor	comment
1.88296	Shrine of Limitless Power	comment
1.88296	Lashwrithe	comment
1.88296	Karn Liberated	comment
1.8741	Cloudgoat Ranger	comment
1.86064	Putrid Leech	implemented
1.85296	Priest of Gix	comment
1.8455	Woolly Thoctar	implemented
1.84334	Rack and Ruin	comment
1.83676	Squandered Resources	comment
1.83676	Prosperity	comment
1.83676	Natural Balance	comment
1.83676	Infernal Contract	comment
1.83676	Cadaverous Bloom	comment
1.8245	Detonate	comment
1.82296	Thran Foundry	comment
1.82216	Imperious Perfect	comment
